kanji,kname,kstroke,kmeaning,kgrade,kunyomi_ja,kunyomi,onyomi_ja,onyomi,examples,radical,rad_order,rad_stroke,rad_name_ja,rad_name,rad_meaning,rad_position_ja,rad_position
式,(kei)shiki,6,"style, ceremony",3,,n/a,シキ,shiki,"[ [ ""結婚式（けっこんしき）"", ""wedding ceremony"" ], [ ""卒業式（そつぎょうしき）"", ""graduation ceremony"" ], [ ""葬式（そうしき）"", ""funeral"" ], [ ""儀式（ぎしき）"", ""ceremony, service"" ], [ ""様式（ようしき）"", ""style, form"" ], [ ""形式（けいしき）"", ""form, format"" ], [ ""公式（こうしき）"", ""formula [n.], official [adj.]"" ], [ ""方程式（ほうていしき）"", ""equation"" ], [ ""正式な（せいしきな）"", ""official"" ], [ ""株式会社（かぶしきがいしゃ）"", ""corporation"" ] ]",⼷,66,3,いぐるみ,igurumi,javelin,,
牛,gyuu-ushi,4,"cattle, cow, ox",2,うし,ushi,ギュウ,gyuu,"[ [ ""牛乳（ぎゅうにゅう）"", ""(cow) milk"" ], [ ""牛肉（ぎゅうにく）"", ""beef"" ], [ ""闘牛（とうぎゅう）"", ""bull fight"" ], [ ""牛（うし）"", ""cow"" ], [ ""子牛（こうし）"", ""calf"" ] ]",⽜,116,4,うし,ushi,cow,,
乳,nyuu-chichi,8,milk,6,ちち、ち,"chichi, chi",ニュウ,nyuu,"[ [ ""牛乳（ぎゅうにゅう）"", ""(cow's) milk"" ], [ ""母乳（ぼにゅう）"", ""mother's milk"" ], [ ""乳牛（にゅうぎゅう）"", ""dairy cattle"" ], [ ""乳児（にゅうじ）"", ""infant"" ], [ ""乳歯（にゅうし）"", ""milk (baby) tooth"" ], [ ""乳（ちち）"", ""milk, breast"" ], [ ""乳房（ちぶさ）"", ""breast"" ] ]",⺃,6.5,1,おつ,otsu,the second,,
沢,taku-sawa,7,marsh,n/a,さわ,sawa,タク,taku,"[ [ ""沢山（たくさん）"", ""many, a lot, much"" ], [ ""贅沢な（ぜいたくな）"", ""luxurious"" ], [ ""沢（さわ）"", ""swamp"" ] ]",⺡,76,3,さんずい,sanzui,water,へん,hen
町,chou-machi,7,town,1,まち,machi,チョウ,chou,"[ [ ""町長（ちょうちょう）"", ""town headman"" ], [ ""町名（ちょうめい）"", ""name of a town"" ], [ ""市町村（しちょうそん）"", ""cities, towns and villages"" ], [ ""町（まち）"", ""town"" ], [ ""町並み（まちなみ）"", ""the appearance of a town/street"" ], [ ""下町（したまち）"", ""old commercial area of Tokyo"" ] ]",,129,5,たへん,tahen,rice paddy,へん,hen
他,ta-hoka,5,other,3,,n/a,タ,ta,"[ [ ""他人（たにん）"", ""stranger [n.]"" ], [ ""排他的な（はいたてきな）"", ""exclusive"" ], [ ""その他（そのた）"", ""etc."" ] ]",⺅,11,2,にんべん,ninben,person ,へん,hen
千,sen-chi,3,thousand,1,ち,chi,セン,sen,"[ [ ""千（せん）"", ""1000"" ], [ ""三千（さんぜん）"", ""3000"" ], [ ""八千（はっせん）"", ""8000"" ], [ ""千切れる（ちぎれる）"", ""be torn off"" ], [ ""千鳥（ちどり）"", ""plover"" ] ]",⼗,28,2,じゅう,juu,ten,,
飯,meshi,12,"cooked rice, meal",4,めし,meshi,ハン,han,"[ [ ""御飯（ごはん）"", ""rice (cooked), meal"" ], [ ""夕飯（ゆうはん）"", ""dinner"" ], [ ""朝御飯（あさごはん）"", ""breakfast"" ], [ ""昼御飯（ひるごはん）"", ""lunch"" ], [ ""晩御飯（ばんごはん）"", ""dinner"" ], [ ""炊飯器（すいはんき）"", ""rice cooker"" ], [ ""飯（めし）"", ""meal, food (derogatory)"" ], [ ""朝飯前（あさめしまえ）"", ""simple, a piece of cake"" ] ]",⻟,221,8,しょくへん,shokuhen,"food, to eat",へん,hen
答,tou-kota(e),12,answer,2,こた、こたえ、こたえる,"kota, kotae, kotaeru",トウ,tou,"[ [ ""解答する（かいとうする）"", ""solve, figure out"" ], [ ""回答する（かいとうする）"", ""reply [v.i.]"" ], [ ""応答する（おうとうする）"", ""respond [v.i.]"" ], [ ""返答する（へんとうする）"", ""reply [v.i.]"" ], [ ""答案（とうあん）"", ""examination paper"" ], [ ""答える（こたえる）"", ""answer [v.i.]"" ] ]",⺮,154,6,たけかんむり,takekanmuri,bamboo,かんむり,kanmuri
店,mise,8,"shop, store",2,みせ,mise,テン,ten,"[ [ ""商店（しょうてん）"", ""shop [n.]"" ], [ ""書店（しょてん）"", ""bookstore"" ], [ ""売店（ばいてん）"", ""stand [n.]"" ], [ ""本店（ほんてん）"", ""head office"" ], [ ""支店（してん）"", ""branch office"" ], [ ""喫茶店（きっさてん）"", ""coffee shop"" ], [ ""店員（てんいん）"", ""salesperson"" ], [ ""店頭（てんとう）"", ""shop front"" ], [ ""店（みせ）"", ""store [n.]"" ], [ ""店先（みせさき）"", ""store front"" ] ]",⼴,63,3,まだれ,madare,slanting roof,たれ,tare
愛,ito(shii),13,love,4,いと、いとしい、いとおしむ,"ito, itoshii, itooshimu",アイ,ai,"[ [ ""愛する（あいする）"", ""love [v.t.]"" ], [ ""愛用する（あいようする）"", ""use habitually"" ], [ ""愛（あい）"", ""love [n.]"" ], [ ""愛情（あいじょう）"", ""love [n.]"" ], [ ""愛妻（あいさい）"", ""beloved wife"" ], [ ""愛人（あいじん）"", ""lover, mistress"" ], [ ""愛国心（あいこくしん）"", ""patriotism"" ], [ ""恋愛（れんあい）"", ""love affair"" ], [ ""母性愛（ぼせいあい）"", ""maternal love"" ], [ ""愛しい（いとしい）"", ""lovely"" ], [ ""愛おしむ（いとおしむ）"", ""love [v.t.]"" ] ]",⼼,80,4,こころ,kokoro,"heart, mind, spirit",,
合,gou-a(u),6,"combine, fit, match",2,あ、あう、あい、あわす、あわせる,"a, au, ai, awasu, awaseru",ゴウ、カ、ガ,"gou, ka, ga","[ [ ""合計する（ごうけいする）"", ""add up"" ], [ ""合意する（ごういする）"", ""agree"" ], [ ""集合する（しゅうごうする）"", ""gather [v.i.]"" ], [ ""都合（つごう）"", ""convenience"" ], [ ""合戦（かっせん）"", ""battle"" ], [ ""合唱（がっしょう）"", ""chorus"" ], [ ""合衆国（がっしゅうこく）"", ""United States of America"" ], [ ""合う（あう）"", ""match [v.i.]"" ], [ ""助け合う（たすけあう）"", ""help each other"" ], [ ""合わせる（あわせる）"", ""put together, join, adapt"" ], [ ""知り合い（しりあい）"", ""acquaintance"" ], [ ""試合（しあい）"", ""game, match"" ] ]",⼝,34,3,くち,kuchi,mouth,,
悲,hi-kana(shii),12,sad,3,かな、かなしい、かなしむ、かなしさ、かなしみ,"kana, kanashii, kanashimu, kanashisa, kanashimi",ヒ,hi,"[ [ ""悲劇（ひげき）"", ""tragedy"" ], [ ""悲鳴（ひめい）"", ""scream [n.]"" ], [ ""慈悲（じひ）"", ""benevolence"" ], [ ""悲惨な（ひさんな）"", ""tragic"" ], [ ""悲観的な（ひかんてきな）"", ""pessimistic"" ], [ ""悲観する（ひかんする）"", ""be pessimistic"" ], [ ""悲しい（かなしい）"", ""sad"" ], [ ""悲しむ（かなしむ）"", ""mourn"" ] ]",⼼,80,4,こころ,kokoro,"heart, mind, spirit",,
職,shoku(gyou),18,employment,5,,n/a,ショク,shoku,"[ [ ""職（しょく）"", ""job"" ], [ ""職業（しょくぎょう）"", ""occupation"" ], [ ""職場（しょくば）"", ""workplace"" ], [ ""職務（しょくむ）"", ""professional duties"" ], [ ""職員室（しょくいんしつ）"", ""teachers'/faculty room"" ], [ ""無職（むしょく）"", ""unemployed [n.]"" ], [ ""就職する（しゅうしょくする）"", ""find employment"" ], [ ""退職する（たいしょくする）"", ""retire"" ] ]",,164,6,みみへん,mimihen,ear,へん,hen
員,(ginkou)in,10,member,3,,n/a,イン,in,"[ [ ""社員（しゃいん）"", ""company employee"" ], [ ""店員（てんいん）"", ""salesperson"" ], [ ""職員（しょくいん）"", ""staff member"" ], [ ""議員（ぎいん）"", ""member of congress"" ], [ ""委員（いいん）"", ""committee member"" ], [ ""全員（ぜんいん）"", ""all members"" ], [ ""満員（まんいん）"", ""full, crowded [n.]"" ], [ ""定員（ていいん）"", ""fixed number, capacity"" ], [ ""会社員（かいしゃいん）"", ""company employee"" ], [ ""公務員（こうむいん）"", ""public (civil) servant"" ] ]",⼝,34,3,くち,kuchi,mouth,,
幸,saiwa(i),8,"happiness, happy",3,さいわ、さいわい、さち、しあわ、しあわせ,"saiwa, saiwai, sachi, shiawa, shiawase",コウ,kou,"[ [ ""幸運な（こううんな）"", ""fortunate"" ], [ ""幸福な（こうふくな）"", ""happy"" ], [ ""不幸な（ふこうな）"", ""unhappy"" ], [ ""薄幸な（はっこうな）"", ""unfortunate"" ], [ ""幸い（さいわい）"", ""happiness [n.], luckily [adv.]"" ], [ ""幸（さち）"", ""happiness"" ], [ ""幸せな（しあわせな）"", ""happy"" ], [ ""不幸せな（ふしあわせな）"", ""unhappy"" ] ]",⼲,61,3,かん,kan,"to dry, shield",,
飛,hi-to(bu),9,fly,4,と、とぶ、とばす,"to, tobu, tobasu",ヒ,hi,"[ [ ""飛行機（ひこうき）"", ""airplane"" ], [ ""飛行場（ひこうじょう）"", ""airport"" ], [ ""飛行船（ひこうせん）"", ""airship"" ], [ ""飛躍する（ひやくする）"", ""leap [v.i.]"" ], [ ""飛ぶ（とぶ）"", ""jump, fly [v.i.]"" ], [ ""飛び込む（とびこむ）"", ""jump in"" ], [ ""飛び上がる（とびあがる）"", ""jump up"" ], [ ""飛ばす（とばす）"", ""send, fly [v.t.]"" ] ]",⾶,219,9,とぶ,tobu,to fly,,
今,ima,4,"present, this",2,いま,ima,コン、キン,"kon, kin","[ [ ""今月（こんげつ）"", ""this month"" ], [ ""今週（こんしゅう）"", ""this week"" ], [ ""今晩（こんばん）"", ""tonight"" ], [ ""今後（こんご）"", ""from now on"" ], [ ""今回（こんかい）"", ""this time"" ], [ ""今度（こんど）"", ""this time, next time"" ], [ ""今上（きんじょう）"", ""current emperor"" ], [ ""今（いま）"", ""now"" ], [ ""今風（いまふう）"", ""modern style"" ], [ ""*今年（ことし）"", ""this year"" ], [ ""*今日（きょう）"", ""today"" ] ]",𠆢,12,2,ひとやね,hitoyane,person ,かんむり,kanmuri
耳,mimi,6,ear,1,みみ,mimi,ジ,ji,"[ [ ""耳鼻科（じびか）"", ""otolaryngology"" ], [ ""耳（みみ）"", ""ear"" ], [ ""初耳（はつみみ）"", ""heard for the first time"" ] ]",⽿,163,6,みみ,mimi,ear,,
嫌,kira(u),13,"dislike, unpleasant",n/a,きら、きらう、きらい、いや、いやがる,"kira, kirau, kirai, iya, iyagaru",ケン,ken,"[ [ ""自己嫌悪（じこけんお）"", ""self-hatred"" ], [ ""機嫌（きげん）"", ""mood"" ], [ ""嫌う（きらう）"", ""dislike [v.t.]"" ], [ ""嫌いな（きらいな）"", ""dislike"" ], [ ""好き嫌い（すききらい）"", ""likes and dislikes"" ], [ ""食わず嫌い（くわずぎらい）"", ""prejudiced against (some food)"" ], [ ""嫌な（いやな）"", ""unpleasant"" ], [ ""嫌がる（いやがる）"", ""dislike, unwilling, reluctant [v.t.]"" ] ]",,45,3,おんなへん,onnahen,woman,へん,hen
窓,mado,11,window,6,まど,mado,ソウ,sou,"[ [ ""車窓（しゃそう）"", ""car window"" ], [ ""同窓会（どうそうかい）"", ""class reunion"" ], [ ""窓（まど）"", ""window"" ], [ ""窓口（まどぐち）"", ""ticket window"" ], [ ""窓際（まどぎわ）"", ""(at the) window"" ] ]",,147,5,あなかんむり,anakanmuri,"hole, cave",かんむり,kanmuri
喜,ki-yoroko(bu),12,"happy, happiness, be glad",4,よろこ、よろこぶ、よろこび、よろこばす,"yoroko, yorokobu, yorokobi, yorokobasu",キ,ki,"[ [ ""歓喜する（かんきする）"", ""rejoice"" ], [ ""喜劇（きげき）"", ""comedy"" ], [ ""一喜一憂（いっきいちゆう）"", ""mixed blessings"" ], [ ""喜ぶ（よろこぶ）"", ""be delighted [v.i.]"" ], [ ""喜ばす（よろこばす）"", ""give pleasure, please [v.t.]"" ] ]",⼝,34,3,くち,kuchi,mouth,,
反,han-so(ru),4,"counter, anti-",3,そ、そる、そらす,"so, soru, sorasu",ハン、ホン、タン,"han, hon, tan","[ [ ""反対する（はんたいする）"", ""disagree"" ], [ ""反抗する（はんこうする）"", ""rebel [v.i.]"" ], [ ""反応する（はんのうする）"", ""react"" ], [ ""反省する（はんせいする）"", ""reflect on"" ], [ ""違反する（いはんする）"", ""violate"" ], [ ""反感（はんかん）"", ""antipathy"" ], [ ""反戦（はんせん）"", ""anti-war"" ], [ ""反日（はんにち）"", ""anti-Japanese"" ], [ ""謀反（むほん）"", ""rebellion"" ], [ ""一反（いったん）"", ""one-tenth of a hectare"" ], [ ""反る（そる）"", ""curve [v.i.]"" ], [ ""反らす（そらす）"", ""bend [v.t.]"" ] ]",⼜,33,2,また,mata,"again, right hand",,
対,(han)tai,7,"oppose, opposite, against",3,,n/a,タイ、ツイ,"tai, tsui","[ [ ""反対する（はんたいする）"", ""disagree, object"" ], [ ""対抗する（たいこうする）"", ""oppose, cope"" ], [ ""対応する（たいおうする）"", ""deal with"" ], [ ""対立する（たいりつする）"", ""confront"" ], [ ""対象（たいしょう）"", ""target [n.], object [n.]"" ], [ ""対日（たいにち）"", ""with respect to Japan"" ], [ ""絶対（ぜったい）"", ""absolute"" ], [ ""対等な（たいとうな）"", ""equivalent"" ], [ ""対（つい）"", ""pair, couple"" ] ]",,49.5,3,すんづくり,sunzukuri,"inch, (2.25 cm)",つくり,tsukuri
恋,ren-koi,10,love,n/a,こ、こう、こい、こいしい、こいする,"ko, kou, koi, koishii, koisuru",レン,ren,"[ [ ""恋愛（れんあい）"", ""love affair"" ], [ ""失恋する（しつれんする）"", ""be broken hearted"" ], [ ""恋う（こう）"", ""love [v.t.]"" ], [ ""恋する（こいする）"", ""love [v.t.]"" ], [ ""恋（こい）"", ""love [n.]"" ], [ ""恋人（こいびと）"", ""lover"" ], [ ""恋しい（こいしい）"", ""dear"" ], [ ""初恋（はつこい）"", ""first love"" ] ]",⼼,80,4,こころ,kokoro,"heart, mind, spirit",,
告,koku-tsu(geru),7,"notify, tell, inform",4,つ、つぐ、つげる,"tsu, tsugu, tsugeru",コク,koku,"[ [ ""報告する（ほうこくする）"", ""report [v.t.]"" ], [ ""忠告する（ちゅうこくする）"", ""advise, warn"" ], [ ""警告する（けいこくする）"", ""warn"" ], [ ""申告する（しんこくする）"", ""file a report"" ], [ ""告訴する（こくそする）"", ""accuse"" ], [ ""告白する（こくはくする）"", ""confess"" ], [ ""広告（こうこく）"", ""advertisement"" ], [ ""被告（ひこく）"", ""defendant"" ], [ ""原告（げんこく）"", ""prosecutor"" ], [ ""告げる（つげる）"", ""inform"" ], [ ""告げ口（つげぐち）"", ""tell on (someone) [n.]"" ] ]",⼝,34,3,くち,kuchi,mouth,,
許,kyo-yuru(su),11,"permit, allow",5,ゆる、ゆるす、ゆるし,"yuru, yurusu, yurushi",キョ,kyo,"[ [ ""免許（めんきょ）"", ""license [n.]"" ], [ ""特許（とっきょ）"", ""patent [n.]"" ], [ ""許可する（きょかする）"", ""approve, permit, admit"" ], [ ""許す（ゆるす）"", ""allow, forgive, permit, admit"" ] ]",,183,7,ごんべん,gonben,"words, to speak, say",へん,hen
件,(ji)ken,6,matter,5,,n/a,ケン,ken,"[ [ ""件（けん）"", ""incident"" ], [ ""事件（じけん）"", ""incident, criminal case"" ], [ ""条件（じょうけん）"", ""condition [n.]"" ], [ ""用件（ようけん）"", ""(one's) business, concerns"" ], [ ""人件費（じんけんひ）"", ""cost of labor"" ] ]",⺅,11,2,にんべん,ninben,person ,へん,hen
小,chii(sai),3,small,1,ちい、ちいさい、こ、お,"chii, chiisai, ko, o",ショウ,shou,"[ [ ""小説（しょうせつ）"", ""a novel"" ], [ ""小学校（しょうがっこう）"", ""elementary school"" ], [ ""最小（さいしょう）"", ""minimum"" ], [ ""大小（だいしょう）"", ""size"" ], [ ""小さい（ちいさい）"", ""small"" ], [ ""小麦（こむぎ）"", ""wheat"" ], [ ""小鳥（ことり）"", ""small bird"" ], [ ""小川（おがわ）"", ""small stream, brook"" ] ]",⼩,50,3,しょう,shou,small,,
戻,modo(ru),7,return,n/a,もど、もどす、もどる,"modo, modosu, modoru",レイ,rei,"[ [ ""返戻する（へんれいする）"", ""return [v.t.]"" ], [ ""戻す（もどす）"", ""restore, put back [v.t.]"" ], [ ""取り戻す（とりもどす）"", ""regain"" ], [ ""買い戻す（かいもどす）"", ""buy back"" ], [ ""払い戻し（はらいもどし）"", ""refund, rebate [n.]"" ], [ ""戻る（もどる）"", ""return [v.i.]"" ] ]",,83,4,とだれ,todare,door,たれ,tare
服,(you)fuku,8,"clothes, clothing, submit",3,,n/a,フク,fuku,"[ [ ""服（ふく）"", ""clothes"" ], [ ""洋服（ようふく）"", ""Western-style clothes"" ], [ ""和服（わふく）"", ""Japanese clothes"" ], [ ""制服（せいふく）"", ""uniform"" ], [ ""服装（ふくそう）"", ""clothes"" ], [ ""服従する（ふくじゅうする）"", ""obey"" ], [ ""服役する（ふくえきする）"", ""serve time in prison"" ], [ ""克服する（こくふくする）"", ""conquer"" ], [ ""不服な（ふふくな）"", ""dissatisfied"" ], [ ""内服薬（ないふくやく）"", ""medicine taken internally"" ] ]",⺝,95.5,4,つきへん,tsukihen,"moon, month, period",へん,hen
曜,you(bi),18,day of the week,2,,n/a,ヨウ,you,"[ [ ""曜日（ようび）"", ""day of the week"" ], [ ""日曜日（にちようび）"", ""Sunday"" ], [ ""月曜日（げつようび）"", ""Monday"" ], [ ""火曜日（かようび）"", ""Tuesday"" ], [ ""水曜日（すいようび）"", ""Wednesday"" ], [ ""木曜日（もくようび）"", ""Thursday"" ], [ ""金曜日（きんようび）"", ""Friday"" ], [ ""土曜日（どようび）"", ""Saturday"" ] ]",,93,4,ひへん,hihen,"sun, day, time",へん,hen
品,shina,9,"article, goods",3,しな,shina,ヒン,hin,"[ [ ""品質（ひんしつ）"", ""quality"" ], [ ""品種（ひんしゅ）"", ""brand"" ], [ ""作品（さくひん）"", ""work (of fiction, etc.) [n.]"" ], [ ""製品（せいひん）"", ""manufactured goods"" ], [ ""食品（しょくひん）"", ""food product"" ], [ ""商品（しょうひん）"", ""merchandise"" ], [ ""貴重品（きちょうひん）"", ""valuables"" ], [ ""上品な（じょうひんな）"", ""elegant"" ], [ ""返品する（へんぴんする）"", ""return (an item)"" ], [ ""品（しな）"", ""goods"" ], [ ""品物（しなもの）"", ""goods"" ], [ ""品切れ（しなぎれ）"", ""out of stock"" ] ]",⼝,34,3,くち,kuchi,mouth,,
未,mi(rai),5,not yet,4,いま、ま、いまだ、まだ,"ima, ma, imada, mada",ミ,mi,"[ [ ""未来（みらい）"", ""future [n.]"" ], [ ""未完成（みかんせい）"", ""unfinished"" ], [ ""未払い（みはらい）"", ""unpaid"" ], [ ""未婚（みこん）"", ""unmarried"" ], [ ""未成年（みせいねん）"", ""minority (as in age) [n.]"" ], [ ""未熟な（みじゅくな）"", ""inexperienced, immature"" ], [ ""前代未聞（ぜんだいみもん）"", ""unheard-of"" ], [ ""未だ（いまだ/まだ）"", ""as yet"" ] ]",⽊,97,4,き,ki,"tree, wood",,
完,kan(peki),7,complete,4,,n/a,カン,kan,"[ [ ""完成する（かんせいする）"", ""complete, finish"" ], [ ""完了する（かんりょうする）"", ""complete"" ], [ ""完結する（かんけつする）"", ""conclude, finish"" ], [ ""完備する（かんびする）"", ""equip fully"" ], [ ""完全な（かんぜんな）"", ""perfect"" ], [ ""完璧な（かんぺきな）"", ""flawless"" ] ]",⼧,48,3,うかんむり,ukanmuri,"roof, house",かんむり,kanmuri
海,kai-umi,9,"sea, ocean",2,うみ,umi,カイ,kai,"[ [ ""日本海（にほんかい）"", ""Sea of Japan"" ], [ ""航海（こうかい）"", ""sailing"" ], [ ""海岸（かいがん）"", ""coast"" ], [ ""海外（かいがい）"", ""abroad"" ], [ ""海水浴（かいすいよく）"", ""sea bathing"" ], [ ""海（うみ）"", ""sea"" ], [ ""海辺（うみべ）"", ""beach"" ], [ ""*海老（えび）"", ""shrimp"" ], [ ""*海苔（のり）"", ""sea seed sheet"" ] ]",⺡,76,3,さんずい,sanzui,water,へん,hen
島,tou-shima,10,island,3,しま,shima,トウ,tou,"[ [ ""島民（とうみん）"", ""islander"" ], [ ""日本列島（にほんれっとう）"", ""Japanese archipelago"" ], [ ""半島（はんとう）"", ""peninsula"" ], [ ""無人島（むじんとう）"", ""deserted island"" ], [ ""島（しま）"", ""island"" ], [ ""島国（しまぐに）"", ""island country"" ], [ ""宝島（たからじま）"", ""treasure island"" ], [ ""島々（しまじま）"", ""islands"" ] ]",⼭,54,3,やま,yama,mountain,,
級,(ni)kyuu,9,grade,3,,n/a,キュウ,kyuu,"[ [ ""進級する（しんきゅうする）"", ""advance (in school)"" ], [ ""級友（きゅうゆう）"", ""classmate"" ], [ ""同級生（どうきゅうせい）"", ""classmate"" ], [ ""上級（じょうきゅう）"", ""advanced level, senior"" ], [ ""中級（ちゅうきゅう）"", ""intermediate level"" ], [ ""初級（しょきゅう）"", ""elementary level"" ], [ ""高級（こうきゅう）"", ""high class"" ], [ ""低級（ていきゅう）"", ""low grade"" ], [ ""一級（いっきゅう）"", ""first class"" ], [ ""階級（かいきゅう）"", ""class, rank"" ] ]",,158,6,いとへん,itohen,thread,へん,hen
顔,kao,18,face,2,かお,kao,ガン,gan,"[ [ ""洗顔する（せんがんする）"", ""wash one's face"" ], [ ""童顔（どうがん）"", ""baby-faced"" ], [ ""厚顔無恥（こうがんむち）"", ""brazen and unscrupulous"" ], [ ""顔（かお）"", ""(a person's) face"" ], [ ""顔色（かおいろ）"", ""complexion"" ], [ ""素顔（すがお）"", ""face with no make-up"" ], [ ""笑顔（えがお）"", ""smile, smiling face"" ] ]",⾴,217,9,おおがい,oogai,"head, page",つくり,tsukuri
休,yasu(mi),6,rest,1,やす、やすむ、やすみ、やすめる,"yasu, yasumu, yasumi, yasumeru",キュウ,kyuu,"[ [ ""休日（きゅうじつ）"", ""holiday"" ], [ ""週休（しゅうきゅう）"", ""weekly holiday"" ], [ ""休講（きゅうこう）"", ""a cancelled lecture"" ], [ ""休暇（きゅうか）"", ""vacation"" ], [ ""休み（やすみ）"", ""rest, absence, break, recess"" ], [ ""休む（やすむ）"", ""rest [v.i.]"" ], [ ""休める（やすめる）"", ""put to rest [v.t.]"" ] ]",⺅,11,2,にんべん,ninben,person ,へん,hen
面,men-omote,9,"face, mask, surface",3,おも、おもて、つら,"omo, omote, tsura",メン,men,"[ [ ""表面（ひょうめん）"", ""surface"" ], [ ""両面（りょうめん）"", ""both sides"" ], [ ""場面（ばめん）"", ""scene"" ], [ ""洗面所（せんめんじょ）"", ""washroom"" ], [ ""直面する（ちょくめんする）"", ""confront"" ], [ ""面接する（めんせつする）"", ""interview [v.t.]"" ], [ ""面倒くさい（めんどうくさい）"", ""troublesome"" ], [ ""面白い（おもしろい）"", ""interesting"" ], [ ""面（おもて）"", ""face"" ], [ ""面（つら）"", ""face [derogatory]"" ], [ ""仏頂面（ぶっちょうづら）"", ""sour look"" ], [ ""字面（じづら）"", ""typeface"" ] ]",⾯,214,9,めん,men,"face, surface",,
企,kuwada(teru),6,"project, plan, attempt",n/a,くわだ、くわだてる,"kuwada, kuwadateru",キ,ki,"[ [ ""企業（きぎょう）"", ""enterprise"" ], [ ""企画（きかく）"", ""project [n.]"" ], [ ""企て（くわだて）"", ""plot [n.]"" ], [ ""企てる（くわだてる）"", ""plot [v.t.]"" ] ]",𠆢,12,2,ひとやね,hitoyane,person ,かんむり,kanmuri
市,shi-ichi,5,"city, market",2,いち,ichi,シ,shi,"[ [ ""横浜市（よこはまし）"", ""Yokohama city"" ], [ ""都市（とし）"", ""city, urban area"" ], [ ""市内（しない）"", ""(within a) city"" ], [ ""市外（しがい）"", ""outside the city"" ], [ ""市民（しみん）"", ""citizen"" ], [ ""市長（しちょう）"", ""mayor"" ], [ ""市役所（しやくしょ）"", ""city hall"" ], [ ""市場（しじょう/いちば）"", ""market (business) / market place"" ], [ ""市（いち）"", ""market place"" ], [ ""競り市（せりいち）"", ""auction market"" ] ]",⼱,59,3,はば,haba,cloth,,
頼,tayo(ru),16,"rely on, request",n/a,たの、たのむ、たのもしい、たよ、たよる,"tano, tanomu, tanomoshii, tayo, tayoru",ライ,rai,"[ [ ""信頼する（しんらいする）"", ""trust [v.t.]"" ], [ ""依頼する（いらいする）"", ""request [v.t.]"" ], [ ""頼む（たのむ）"", ""request, ask"" ], [ ""頼もしい（たのもしい）"", ""trustworthy"" ], [ ""頼る（たよる）"", ""depend on"" ], [ ""頼りない（たよりない）"", ""undependable"" ] ]",⾴,217,9,おおがい,oogai,"head, page",つくり,tsukuri
第,dai(ichi),11,"ordinal number prefix, degree",3,,n/a,ダイ,dai,"[ [ ""第一（だいいち）"", ""first"" ], [ ""第六感（だいろっかん）"", ""sixth sense"" ], [ ""第三者（だいさんしゃ）"", ""third person"" ], [ ""次第に（しだいに）"", ""gradually"" ], [ ""落第する（らくだいする）"", ""fail, flunk"" ], [ ""及第点（きゅうだいてん）"", ""the cutoff point (for exams)"" ] ]",⺮,154,6,たけかんむり,takekanmuri,bamboo,かんむり,kanmuri
表,hyou-omote,8,"express, surface, table",3,おもて、あらわ、あらわす、あらわれる,"omote, arawa, arawasu, arawareru",ヒョウ,hyou,"[ [ ""表（ひょう）"", ""table, chart"" ], [ ""表情（ひょうじょう）"", ""facial expression"" ], [ ""表面（ひょうめん）"", ""surface"" ], [ ""予定表（よていひょう）"", ""schedule"" ], [ ""表現する（ひょうげんする）"", ""express [v.t.]"" ], [ ""代表する（だいひょうする）"", ""represent"" ], [ ""発表する（はっぴょうする）"", ""announce, present"" ], [ ""表（おもて）"", ""surface, front"" ], [ ""裏表（うらおもて）"", ""both sides"" ], [ ""表す（あらわす）"", ""show [v.t.]"" ], [ ""表れる（あらわれる）"", ""appear, come out [v.i.]"" ] ]",⾐,177,6,ころも,koromo,clothing,,
将,shou(gun),10,"general, officer",6,,n/a,ショウ,shou,"[ [ ""将来（しょうらい）"", ""future, prospects"" ], [ ""将軍（しょうぐん）"", ""general, shogun"" ], [ ""大将（たいしょう）"", ""general, admiral"" ], [ ""王将（おうしょう）"", ""king (shogi game)"" ] ]",⼨,49,3,すん,sun,"inch, (2.25 cm)",,
希,ki(bou),7,"hope, aspire",4,,n/a,キ,ki,"[ [ ""希望する（きぼうする）"", ""hope [v.t.]"" ], [ ""希求する（ききゅうする）"", ""aspire to, seek"" ], [ ""希望者（きぼうしゃ）"", ""candidate, a hopeful"" ] ]",⼱,59,3,はば,haba,cloth,,
場,jou-ba,12,place,2,ば,ba,ジョウ,jou,"[ [ ""入場する（にゅうじょうする）"", ""enter"" ], [ ""出場する（しゅつじょうする）"", ""participate (game)"" ], [ ""会場（かいじょう）"", ""assembly hall, meeting place"" ], [ ""式場（しきじょう）"", ""ceremonial hall"" ], [ ""工場（こうじょう）"", ""factory"" ], [ ""市場（しじょう）"", ""market (business)"" ], [ ""試験場（しけんじょう）"", ""examination room, laboratory"" ], [ ""野球場（やきゅうじょう）"", ""baseball field"" ], [ ""場所（ばしょ）"", ""location"" ], [ ""場面（ばめん）"", ""scene"" ], [ ""場合（ばあい）"", ""case"" ], [ ""立場（たちば）"", ""standpoint"" ] ]",,38,3,つちへん,tsuchihen,earth,へん,hen
