ka_utf;kname;meaning;kstroke;onyomi_ja;onyomi;kunyomi_ja;kunyomi;grade;examples;dick;dicn;rad_utf;rad_order;rad_name_ja;rad_name;rad_meaning;rad_stroke;rad_position_ja;rad_position
建;ken-ta(teru);build;9;ケン、コン;ken, kon;た、たつ、たてる、たて;ta, tatsu, tateru, tate;4;"[ [ ""建築（けんちく）"", ""architecture"" ], [ ""建設する（けんせつする）"", ""construct"" ], [ ""再建する（さいけんする）"", ""rebuild"" ], [ ""建立する（こんりゅうする）"", ""erect (building) [v.t.]"" ], [ ""建つ（たつ）"", ""be built [v.i.]"" ], [ ""建てる（たてる）"", ""build [v.t.]"" ], [ ""建物（たてもの）"", ""building"" ], [ ""建前（たてまえ）"", ""public position"" ], [ ""二階建て（にかいだて）"", ""two-storied building"" ] ]";1965;1549;⼵;64;えんにょう;ennyou;to move, stretch;3;にょう;nyou
宅;(o)taku;house, residence;6;タク;taku;;n/a;6;"[ [ ""帰宅する（きたくする）"", ""return home"" ], [ ""お宅（おたく）"", ""house [hon.]"" ], [ ""自宅（じたく）"", ""one's home"" ], [ ""社宅（しゃたく）"", ""company owned house"" ], [ ""住宅地（じゅうたくち）"", ""residential district"" ], [ ""宅急便（たっきゅうびん）"", ""express home delivery"" ] ]";1376;1279;⼧;48;うかんむり;ukanmuri;roof, house;3;かんむり;kanmuri
申;mou(su);report, speak humbly;5;シン;shin;もう、もうす、もうし;mou, mousu, moushi;3;"[ [ ""申告する（しんこくする）"", ""file report (about oneself)"" ], [ ""申請する（しんせいする）"", ""write an application or petition"" ], [ ""申す（もうす）"", ""say [hum.]"" ], [ ""申し訳ない（もうしわけない）"", ""inexcusable"" ], [ ""申し分ない（もうしぶんない）"", ""perfect, beyond criticism"" ], [ ""申し込む（もうしこむ）"", ""apply for"" ] ]";2186;93;⽥;128;た;ta;rice paddy;5;;
願;nega(u);wish, ask a favor, request;19;ガン;gan;ねが、ねがう;nega, negau;4;"[ [ ""願望（がんぼう）"", ""wish [n.]"" ], [ ""願書（がんしょ）"", ""application letter"" ], [ ""悲願（ひがん）"", ""one's dearest wish"" ], [ ""念願（ねんがん）"", ""one's heart's desire"" ], [ ""祈願する（きがんする）"", ""pray"" ], [ ""願う（ねがう）"", ""wish"" ], [ ""お願い（おねがい）"", ""request [n.]"" ] ]";1199;255;⾴;217;おおがい;oogai;head, page;9;つくり;tsukuri
主;nushi;main, master;5;シュ、ス;shu, su;ぬし、おも、おもに、あるじ;nushi, omo, omoni, aruji;3;"[ [ ""主人（しゅじん）"", ""one's own husband"" ], [ ""主婦（しゅふ）"", ""housewife"" ], [ ""民主主義（みんしゅしゅぎ）"", ""democracy"" ], [ ""主要な（しゅような）"", ""main"" ], [ ""主体的な（しゅたいてきな）"", ""subjective"" ], [ ""主張する（しゅちょうする）"", ""claim, insist"" ], [ ""坊主（ぼうず）"", ""Buddhist priest"" ], [ ""持ち主（もちぬし）"", ""owner"" ], [ ""株主（かぶぬし）"", ""stockholder"" ], [ ""主に（おもに）"", ""mainly"" ], [ ""一家の主（いっかのあるじ）"", ""master of the household"" ] ]";1231;285;⼂;3;てん;ten;dot;1;;
関;kan-seki;concern, barrier;14;カン;kan;せき、かか、かかわる;seki, kaka, kakawaru;4;"[ [ ""関東（かんとう）"", ""eastern half of Japan"" ], [ ""関西（かんさい）"", ""south-western half of Japan"" ], [ ""関節（かんせつ）"", ""a joint (in the body)"" ], [ ""関心（かんしん）"", ""interest, concern"" ], [ ""玄関（げんかん）"", ""entry hall"" ], [ ""税関（ぜいかん）"", ""the customs (at airport)"" ], [ ""関係する（かんけいする）"", ""be related"" ], [ ""関所（せきしょ）"", ""checkpoint"" ], [ ""関わる（かかわる）"", ""concern oneself, have to do with"" ] ]";2099;4958;⾨;208;もんがまえ;mongamae;gate, door;8;かまえ, もんがまえ;kamae, mongamae
特;toku(betsu);special;10;トク;toku;;n/a;4;"[ [ ""特色（とくしょく）"", ""characteristic"" ], [ ""特徴（とくちょう）"", ""feature"" ], [ ""特急（とっきゅう）"", ""express train"" ], [ ""特別な（とくべつな）"", ""special"" ], [ ""特有な（とくゆうな）"", ""peculiar (to)"" ], [ ""独特な（どくとくな）"", ""unique"" ], [ ""特訓する（とっくんする）"", ""give special training"" ], [ ""特集する（とくしゅうする）"", ""feature (e.g. newspaper)"" ] ]";641;2860;;117;うしへん;ushihen;cow;4;へん;hen
別;betsu-waka(re);separate, another;7;ベツ;betsu;わか、わかれ、わかれる;waka, wakare, wakareru;4;"[ [ ""特別な（とくべつな）"", ""special"" ], [ ""別な（べつな）"", ""different, another"" ], [ ""別々に（べつべつに）"", ""separately"" ], [ ""個別に（こべつに）"", ""individually"" ], [ ""別離（べつり）"", ""parting"" ], [ ""別荘（べっそう）"", ""summer home"" ], [ ""別世界（べっせかい）"", ""another world"" ], [ ""差別する（さべつする）"", ""discriminate"" ], [ ""区別する（くべつする）"", ""differentiate"" ], [ ""別居する（べっきょする）"", ""separate (i.e. a married couple)"" ], [ ""別れる（わかれる）"", ""be divided, part from"" ] ]";760;674;⺉;23;りっとう;rittou;knife, sword;2;つくり;tsukuri
僕;boku(ra);I, manservant;14;ボク;boku;;n/a;n/a;"[ [ ""僕（ぼく）"", ""I (masculine)"" ], [ ""従僕（じゅうぼく）"", ""servant"" ], [ ""下僕（げぼく）"", ""servant"" ], [ ""公僕（こうぼく）"", ""public servant"" ] ]";121;544;⺅;11;にんべん;ninben;person ;2;へん;hen
日;nichi-hi;day, sun, Japan;4;ニチ、ジツ;nichi, jitsu;ひ、か;hi, ka;1;"[ [ ""一日（いちにち）"", ""1 day"" ], [ ""日数（にっすう）"", ""a number of days"" ], [ ""本日（ほんじつ）"", ""today"" ], [ ""朝日（あさひ）"", ""morning sun"" ], [ ""二日（ふつか）"", ""2nd of the month, 2 days"" ], [ ""*一日（ついたち）"", ""1st of the month"" ], [ ""*今日（きょう）"", ""today"" ], [ ""*明日（あした）"", ""tomorrow"" ], [ ""*昨日（きのう）"", ""yesterday"" ], [ ""*明後日（あさって）"", ""day after tomorrow"" ], [ ""*一昨日（おととい）"", ""day before yesterday"" ], [ ""*日本語（にほんご）"", ""Japanese language"" ] ]";1915;2097;⽇;92;ひ;hi;sun, day, time;4;;
予;yo(tei);in advance;4;ヨ;yo;;n/a;3;"[ [ ""天気予報（てんきよほう）"", ""weather forecast"" ], [ ""予算（よさん）"", ""budget"" ], [ ""予備（よび）"", ""spare"" ], [ ""予習する（よしゅうする）"", ""prepare for a lesson"" ], [ ""予定する（よていする）"", ""plan [v.t.]"" ], [ ""予知する（よちする）"", ""know by foresight"" ], [ ""予期する（よきする）"", ""expect"" ], [ ""予約する（よやくする）"", ""reserve"" ], [ ""予感する（よかんする）"", ""know by premonition"" ], [ ""予防する（よぼうする）"", ""prevent"" ] ]";1253;271;⼅;7;はねぼう;hanebou;vertical stroke with a hook;1;;
定;sada(meru);fix, determine;8;テイ、ジョウ;tei, jou;さだ、さだか、さだめる、さだまる;sada, sadaka, sadameru, sadamaru;3;"[ [ ""定価（ていか）"", ""list price"" ], [ ""定期券（ていきけん）"", ""commuter pass"" ], [ ""定休日（ていきゅうび）"", ""regular holiday"" ], [ ""指定席（していせき）"", ""reserved seat"" ], [ ""予定する（よていする）"", ""plan [v.t.]"" ], [ ""決定する（けっていする）"", ""decide"" ], [ ""否定する（ひていする）"", ""deny"" ], [ ""確定する（かくていする）"", ""fix, settle (e.g. plan)"" ], [ ""安定する（あんていする）"", ""become stable"" ], [ ""案の定（あんのじょう）"", ""sure enough"" ], [ ""定める（さだめる）"", ""decide, establish [v.t.]"" ], [ ""定まる（さだまる）"", ""become decided [v.i.]"" ] ]";1420;1296;⼧;48;うかんむり;ukanmuri;roof, house;3;かんむり;kanmuri
写;sha-utsu(su);copy;5;シャ;sha;うつ、うつす、うつる;utsu, utsusu, utsuru;3;"[ [ ""写真（しゃしん）"", ""photograph"" ], [ ""写実的な（しゃじつてきな）"", ""true to life"" ], [ ""写生する（しゃせいする）"", ""sketch (drawing)"" ], [ ""写経する（しゃきょうする）"", ""hand-copy a sutra"" ], [ ""写本する（しゃほんする）"", ""hand-copy a manuscript"" ], [ ""複写する（ふくしゃする）"", ""copy"" ], [ ""描写する（びょうしゃする）"", ""depict"" ], [ ""写す（うつす）"", ""film, project [v.t.]"" ], [ ""写る（うつる）"", ""be projected [v.i.]"" ] ]";1260;626;⼍;18;わかんむり;wakanmuri;cover, crown;2;かんむり;kanmuri
真;(sha)shin;true, genuine;10;シン;shin;ま;ma;3;"[ [ ""写真（しゃしん）"", ""photograph"" ], [ ""真意（しんい）"", ""real intention"" ], [ ""真実（しんじつ）"", ""truth"" ], [ ""真偽（しんぎ）"", ""truth or falsity"" ], [ ""真面目な（まじめな）"", ""serious"" ], [ ""真っ直ぐ（まっすぐ）"", ""straight"" ], [ ""真似する（まねする）"", ""imitate"" ], [ ""真ん中（まんなか）"", ""middle"" ], [ ""真上（まうえ）"", ""just above"" ] ]";1337;783;⽬;137;め;me;eye;5;;
普;fu(dangi);widespread, general;12;フ;fu;;n/a;n/a;"[ [ ""普通（ふつう）"", ""ordinarily"" ], [ ""普段（ふだん）"", ""usually"" ], [ ""普遍的な（ふへんてきな）"", ""universal"" ], [ ""普及する（ふきゅうする）"", ""spread"" ] ]";1499;605;⽇;92;ひ;hi;sun, day, time;4;;
意;(ketsu)i;mind, meaning, will;13;イ;i;;n/a;3;"[ [ ""意味（いみ）"", ""meaning"" ], [ ""意識（いしき）"", ""consciousness"" ], [ ""意見（いけん）"", ""opinion"" ], [ ""意志（いし）"", ""will [n.]"" ], [ ""好意（こうい）"", ""good will, favor"" ], [ ""意外な（いがいな）"", ""surprising"" ], [ ""意地悪な（いじわるな）"", ""malicious"" ], [ ""注意する（ちゅういする）"", ""be careful, warn"" ], [ ""用意する（よういする）"", ""prepare"" ], [ ""決意する（けついする）"", ""decide"" ] ]";1352;5113;⼼;80;こころ;kokoro;heart, mind, spirit;4;;
忘;wasu(reru);forget;7;ボウ;bou;わす、わすれる;wasu, wasureru;6;"[ [ ""忘年会（ぼうねんかい）"", ""year-end party"" ], [ ""忘却する（ぼうきゃくする）"", ""forget"" ], [ ""忘れる（わすれる）"", ""forget"" ], [ ""忘れ物（わすれもの）"", ""something forgotten"" ] ]";1285;291;⼼;80;こころ;kokoro;heart, mind, spirit;4;;
覚;kaku-obo(eru);perceive, remember, awake;12;カク;kaku;おぼ、さ、おぼえる、さます、さめる;obo, sa, oboeru, samasu, sameru;4;"[ [ ""感覚（かんかく）"", ""sense, sensation"" ], [ ""覚悟する（かくごする）"", ""prepare, steel oneself"" ], [ ""知覚する（ちかくする）"", ""perceive"" ], [ ""自覚する（じかくする）"", ""become aware of oneself"" ], [ ""発覚する（はっかくする）"", ""come to light"" ], [ ""覚える（おぼえる）"", ""remember, memorize"" ], [ ""覚める（さめる）"", ""wake up [v.i.]"" ], [ ""覚ます（さます）"", ""awaken [v.t.]"" ] ]";1668;4288;⾒;179;みる;miru;to see;7;;
席;(za)seki;seat;10;セキ;seki;;n/a;4;"[ [ ""出席する（しゅっせきする）"", ""attend [v.i.]"" ], [ ""欠席する（けっせきする）"", ""be absent"" ], [ ""座席（ざせき）"", ""seat"" ], [ ""議席（ぎせき）"", ""parliamentary seat"" ], [ ""指定席（していせき）"", ""reserved seat"" ], [ ""自由席（じゆうせき）"", ""unreserved seat"" ], [ ""即席ラーメン（そくせきラーメン）"", ""instant noodles"" ] ]";1986;1513;⼱;59;はば;haba;cloth;3;;
君;kimi;ruler, familiar title, you;7;クン;kun;きみ;kimi;3;"[ [ ""君主（くんしゅ）"", ""monarch"" ], [ ""暴君（ぼうくん）"", ""tyrant"" ], [ ""田中君（たなかくん）"", ""Tanaka (surname)"" ], [ ""諸君（しょくん）"", ""Ladies and gentlemen!"" ], [ ""君臨する（くんりんする）"", ""reign"" ], [ ""君（きみ）"", ""you"" ], [ ""君が代（きみがよ）"", ""Japanese national anthem"" ], [ ""姫君（ひめぎみ）"", ""princess"" ] ]";2045;899;⼝;34;くち;kuchi;mouth;3;;
百;hyaku-momo;hundred;6;ヒャク;hyaku;;n/a;1;"[ [ ""百（ひゃく）"", ""100"" ], [ ""百倍（ひゃくばい）"", ""hundredfold"" ], [ ""百姓（ひゃくしょう）"", ""farmer"" ], [ ""三百（さんびゃく）"", ""300"" ], [ ""六百（ろっぴゃく）"", ""600"" ], [ ""八百（はっぴゃく）"", ""800"" ], [ ""*八百屋（やおや）"", ""greengrocer"" ] ]";1279;33;⽩;133;しろ;shiro;white;5;;
熱;netsu;heat, hot, fever;15;ネツ;netsu;あつ、あつい;atsu, atsui;4;"[ [ ""熱（ねつ）"", ""fever, temperature"" ], [ ""高熱（こうねつ）"", ""high fever, high temperature"" ], [ ""情熱（じょうねつ）"", ""passion"" ], [ ""光熱費（こうねつひ）"", ""lighting and heating expenses"" ], [ ""熱湯（ねっとう）"", ""boiling water"" ], [ ""熱心な（ねっしんな）"", ""enthusiastic"" ], [ ""加熱する（かねつする）"", ""heat [v.t.]"" ], [ ""発熱する（はつねつする）"", ""generate heat"" ], [ ""熱中する（ねっちゅうする）"", ""be absorbed, enthusiastic"" ], [ ""熱い（あつい）"", ""hot"" ] ]";1834;2797;⺣;112;れっか;rekka;fire;4;あし;ashi
死;shi(nu);die, death;6;シ;shi;し、しぬ、しに;shi, shinu, shini;3;"[ [ ""死去（しきょ）"", ""death"" ], [ ""死刑（しけい）"", ""death penalty"" ], [ ""死後（しご）"", ""after death"" ], [ ""死体（したい）"", ""corpse"" ], [ ""脳死（のうし）"", ""brain death"" ], [ ""必死に（ひっしに）"", ""desperately"" ], [ ""死亡する（しぼうする）"", ""die"" ], [ ""殉死する（じゅんしする）"", ""die a martyr"" ], [ ""戦死する（せんしする）"", ""die in war"" ], [ ""即死する（そくしする）"", ""die instantly"" ], [ ""死ぬ（しぬ）"", ""die"" ] ]";2194;2439;⽍;101;がつ;gatsu;death & dying, to decompose;4;;
結;musu(bu);tie, conclude;12;ケツ;ketsu;むす、ゆ、むすぶ、ゆう、ゆわえる;musu, yu, musubu, yuu, yuwaeru;4;"[ [ ""結論（けつろん）"", ""conclusion"" ], [ ""結局（けっきょく）"", ""after all"" ], [ ""結果（けっか）"", ""result"" ], [ ""結核（けっかく）"", ""tuberculosis"" ], [ ""結構な（けっこうな）"", ""splendid, good"" ], [ ""結婚する（けっこんする）"", ""marry"" ], [ ""結合する（けつごうする）"", ""combine [v.i.]"" ], [ ""完結する（かんけつする）"", ""be completed"" ], [ ""結ぶ（むすぶ）"", ""tie"" ], [ ""結う（ゆう）"", ""do up (e.g. hair)"" ] ]";912;3540;;158;いとへん;itohen;thread;6;へん;hen
婚;kon(yaku);marry;11;コン;kon;;n/a;n/a;"[ [ ""新婚（しんこん）"", ""newly-wed"" ], [ ""未婚（みこん）"", ""unmarried"" ], [ ""既婚（きこん）"", ""married"" ], [ ""結婚式（けっこんしき）"", ""wedding ceremony"" ], [ ""結婚する（けっこんする）"", ""marry/get married"" ], [ ""求婚する（きゅうこんする）"", ""propose (marriage)"" ], [ ""再婚する（さいこんする）"", ""remarry"" ], [ ""離婚する（りこんする）"", ""divorce/get divorced"" ], [ ""婚約する（こんやくする）"", ""become engaged"" ] ]";344;1236;;45;おんなへん;onnahen;woman;3;へん;hen
式;(kei)shiki;style, ceremony;6;シキ;shiki;;n/a;3;"[ [ ""結婚式（けっこんしき）"", ""wedding ceremony"" ], [ ""卒業式（そつぎょうしき）"", ""graduation ceremony"" ], [ ""葬式（そうしき）"", ""funeral"" ], [ ""儀式（ぎしき）"", ""ceremony, service"" ], [ ""様式（ようしき）"", ""style, form"" ], [ ""形式（けいしき）"", ""form, format"" ], [ ""公式（こうしき）"", ""formula [n.], official [adj.]"" ], [ ""方程式（ほうていしき）"", ""equation"" ], [ ""正式な（せいしきな）"", ""official"" ], [ ""株式会社（かぶしきがいしゃ）"", ""corporation"" ] ]";1931;1556;⼷;66;いぐるみ;igurumi;javelin;3;;
牛;gyuu-ushi;cattle, cow, ox;4;ギュウ;gyuu;うし;ushi;2;"[ [ ""牛乳（ぎゅうにゅう）"", ""(cow) milk"" ], [ ""牛肉（ぎゅうにく）"", ""beef"" ], [ ""闘牛（とうぎゅう）"", ""bull fight"" ], [ ""牛（うし）"", ""cow"" ], [ ""子牛（こうし）"", ""calf"" ] ]";2151;2852;⽜;116;うし;ushi;cow;4;;
乳;nyuu-chichi;milk;8;ニュウ;nyuu;ちち、ち;chichi, chi;6;"[ [ ""牛乳（ぎゅうにゅう）"", ""(cow's) milk"" ], [ ""母乳（ぼにゅう）"", ""mother's milk"" ], [ ""乳牛（にゅうぎゅう）"", ""dairy cattle"" ], [ ""乳児（にゅうじ）"", ""infant"" ], [ ""乳歯（にゅうし）"", ""milk (baby) tooth"" ], [ ""乳（ちち）"", ""milk, breast"" ], [ ""乳房（ちぶさ）"", ""breast"" ] ]";964;266;⺃;6,5;おつ;otsu;the second;1;;
沢;taku-sawa;marsh;7;タク;taku;さわ;sawa;n/a;"[ [ ""沢山（たくさん）"", ""many, a lot, much"" ], [ ""贅沢な（ぜいたくな）"", ""luxurious"" ], [ ""沢（さわ）"", ""swamp"" ] ]";201;2503;⺡;76;さんずい;sanzui;water;3;へん;hen
町;chou-machi;town;7;チョウ;chou;まち;machi;1;"[ [ ""町長（ちょうちょう）"", ""town headman"" ], [ ""町名（ちょうめい）"", ""name of a town"" ], [ ""市町村（しちょうそん）"", ""cities, towns and villages"" ], [ ""町（まち）"", ""town"" ], [ ""町並み（まちなみ）"", ""the appearance of a town/street"" ], [ ""下町（したまち）"", ""old commercial area of Tokyo"" ] ]";756;2995;;129;たへん;tahen;rice paddy;5;へん;hen
他;ta-hoka;other;5;タ;ta;;n/a;3;"[ [ ""他人（たにん）"", ""stranger [n.]"" ], [ ""排他的な（はいたてきな）"", ""exclusive"" ], [ ""その他（そのた）"", ""etc."" ] ]";22;361;⺅;11;にんべん;ninben;person ;2;へん;hen
千;sen-chi;thousand;3;セン;sen;ち;chi;1;"[ [ ""千（せん）"", ""1000"" ], [ ""三千（さんぜん）"", ""3000"" ], [ ""八千（はっせん）"", ""8000"" ], [ ""千切れる（ちぎれる）"", ""be torn off"" ], [ ""千鳥（ちどり）"", ""plover"" ] ]";2132;156;⼗;28;じゅう;juu;ten;2;;
飯;meshi;cooked rice, meal;12;ハン;han;めし;meshi;4;"[ [ ""御飯（ごはん）"", ""rice (cooked), meal"" ], [ ""夕飯（ゆうはん）"", ""dinner"" ], [ ""朝御飯（あさごはん）"", ""breakfast"" ], [ ""昼御飯（ひるごはん）"", ""lunch"" ], [ ""晩御飯（ばんごはん）"", ""dinner"" ], [ ""炊飯器（すいはんき）"", ""rice cooker"" ], [ ""飯（めし）"", ""meal, food (derogatory)"" ], [ ""朝飯前（あさめしまえ）"", ""simple, a piece of cake"" ] ]";1110;5158;⻟;221;しょくへん;shokuhen;food, to eat;8;へん;hen
答;tou-kota(e);answer;12;トウ;tou;こた、こたえ、こたえる;kota, kotae, kotaeru;2;"[ [ ""解答する（かいとうする）"", ""solve, figure out"" ], [ ""回答する（かいとうする）"", ""reply [v.i.]"" ], [ ""応答する（おうとうする）"", ""respond [v.i.]"" ], [ ""返答する（へんとうする）"", ""reply [v.i.]"" ], [ ""答案（とうあん）"", ""examination paper"" ], [ ""答える（こたえる）"", ""answer [v.i.]"" ] ]";1722;3394;⺮;154;たけかんむり;takekanmuri;bamboo;6;かんむり;kanmuri
店;mise;shop, store;8;テン;ten;みせ;mise;2;"[ [ ""商店（しょうてん）"", ""shop [n.]"" ], [ ""書店（しょてん）"", ""bookstore"" ], [ ""売店（ばいてん）"", ""stand [n.]"" ], [ ""本店（ほんてん）"", ""head office"" ], [ ""支店（してん）"", ""branch office"" ], [ ""喫茶店（きっさてん）"", ""coffee shop"" ], [ ""店員（てんいん）"", ""salesperson"" ], [ ""店頭（てんとう）"", ""shop front"" ], [ ""店（みせ）"", ""store [n.]"" ], [ ""店先（みせさき）"", ""store front"" ] ]";1962;1509;⼴;63;まだれ;madare;slanting roof;3;たれ;tare
愛;ito(shii);love;13;アイ;ai;いと、いとしい、いとおしむ;ito, itoshii, itooshimu;4;"[ [ ""愛する（あいする）"", ""love [v.t.]"" ], [ ""愛用する（あいようする）"", ""use habitually"" ], [ ""愛（あい）"", ""love [n.]"" ], [ ""愛情（あいじょう）"", ""love [n.]"" ], [ ""愛妻（あいさい）"", ""beloved wife"" ], [ ""愛人（あいじん）"", ""lover, mistress"" ], [ ""愛国心（あいこくしん）"", ""patriotism"" ], [ ""恋愛（れんあい）"", ""love affair"" ], [ ""母性愛（ぼせいあい）"", ""maternal love"" ], [ ""愛しい（いとしい）"", ""lovely"" ], [ ""愛おしむ（いとおしむ）"", ""love [v.t.]"" ] ]";1606;2829;⼼;80;こころ;kokoro;heart, mind, spirit;4;;
合;gou-a(u);combine, fit, match;6;ゴウ、カ、ガ;gou, ka, ga;あ、あう、あい、あわす、あわせる;a, au, ai, awasu, awaseru;2;"[ [ ""合計する（ごうけいする）"", ""add up"" ], [ ""合意する（ごういする）"", ""agree"" ], [ ""集合する（しゅうごうする）"", ""gather [v.i.]"" ], [ ""都合（つごう）"", ""convenience"" ], [ ""合戦（かっせん）"", ""battle"" ], [ ""合唱（がっしょう）"", ""chorus"" ], [ ""合衆国（がっしゅうこく）"", ""United States of America"" ], [ ""合う（あう）"", ""match [v.i.]"" ], [ ""助け合う（たすけあう）"", ""help each other"" ], [ ""合わせる（あわせる）"", ""put together, join, adapt"" ], [ ""知り合い（しりあい）"", ""acquaintance"" ], [ ""試合（しあい）"", ""game, match"" ] ]";1274;383;⼝;34;くち;kuchi;mouth;3;;
悲;hi-kana(shii);sad;12;ヒ;hi;かな、かなしい、かなしむ、かなしさ、かなしみ;kana, kanashii, kanashimu, kanashisa, kanashimi;3;"[ [ ""悲劇（ひげき）"", ""tragedy"" ], [ ""悲鳴（ひめい）"", ""scream [n.]"" ], [ ""慈悲（じひ）"", ""benevolence"" ], [ ""悲惨な（ひさんな）"", ""tragic"" ], [ ""悲観的な（ひかんてきな）"", ""pessimistic"" ], [ ""悲観する（ひかんする）"", ""be pessimistic"" ], [ ""悲しい（かなしい）"", ""sad"" ], [ ""悲しむ（かなしむ）"", ""mourn"" ] ]";1775;5082;⼼;80;こころ;kokoro;heart, mind, spirit;4;;
職;shoku(gyou);employment;18;ショク;shoku;;n/a;5;"[ [ ""職（しょく）"", ""job"" ], [ ""職業（しょくぎょう）"", ""occupation"" ], [ ""職場（しょくば）"", ""workplace"" ], [ ""職務（しょくむ）"", ""professional duties"" ], [ ""職員室（しょくいんしつ）"", ""teachers'/faculty room"" ], [ ""無職（むしょく）"", ""unemployed [n.]"" ], [ ""就職する（しゅうしょくする）"", ""find employment"" ], [ ""退職する（たいしょくする）"", ""retire"" ] ]";960;3718;;164;みみへん;mimihen;ear;6;へん;hen
員;(ginkou)in;member;10;イン;in;;n/a;3;"[ [ ""社員（しゃいん）"", ""company employee"" ], [ ""店員（てんいん）"", ""salesperson"" ], [ ""職員（しょくいん）"", ""staff member"" ], [ ""議員（ぎいん）"", ""member of congress"" ], [ ""委員（いいん）"", ""committee member"" ], [ ""全員（ぜんいん）"", ""all members"" ], [ ""満員（まんいん）"", ""full, crowded [n.]"" ], [ ""定員（ていいん）"", ""fixed number, capacity"" ], [ ""会社員（かいしゃいん）"", ""company employee"" ], [ ""公務員（こうむいん）"", ""public (civil) servant"" ] ]";1454;928;⼝;34;くち;kuchi;mouth;3;;
幸;saiwa(i);happiness, happy;8;コウ;kou;さいわ、さいわい、さち、しあわ、しあわせ;saiwa, saiwai, sachi, shiawa, shiawase;3;"[ [ ""幸運な（こううんな）"", ""fortunate"" ], [ ""幸福な（こうふくな）"", ""happy"" ], [ ""不幸な（ふこうな）"", ""unhappy"" ], [ ""薄幸な（はっこうな）"", ""unfortunate"" ], [ ""幸い（さいわい）"", ""happiness [n.], luckily [adv.]"" ], [ ""幸（さち）"", ""happiness"" ], [ ""幸せな（しあわせな）"", ""happy"" ], [ ""不幸せな（ふしあわせな）"", ""unhappy"" ] ]";1408;1073;⼲;61;かん;kan;to dry, shield;3;;
飛;hi-to(bu);fly;9;ヒ;hi;と、とぶ、とばす;to, tobu, tobasu;4;"[ [ ""飛行機（ひこうき）"", ""airplane"" ], [ ""飛行場（ひこうじょう）"", ""airport"" ], [ ""飛行船（ひこうせん）"", ""airship"" ], [ ""飛躍する（ひやくする）"", ""leap [v.i.]"" ], [ ""飛ぶ（とぶ）"", ""jump, fly [v.i.]"" ], [ ""飛び込む（とびこむ）"", ""jump in"" ], [ ""飛び上がる（とびあがる）"", ""jump up"" ], [ ""飛ばす（とばす）"", ""send, fly [v.t.]"" ] ]";2222;5152;⾶;219;とぶ;tobu;to fly;9;;
今;ima;present, this;4;コン、キン;kon, kin;いま;ima;2;"[ [ ""今月（こんげつ）"", ""this month"" ], [ ""今週（こんしゅう）"", ""this week"" ], [ ""今晩（こんばん）"", ""tonight"" ], [ ""今後（こんご）"", ""from now on"" ], [ ""今回（こんかい）"", ""this time"" ], [ ""今度（こんど）"", ""this time, next time"" ], [ ""今上（きんじょう）"", ""current emperor"" ], [ ""今（いま）"", ""now"" ], [ ""今風（いまふう）"", ""modern style"" ], [ ""*今年（ことし）"", ""this year"" ], [ ""*今日（きょう）"", ""today"" ] ]";1246;352;𠆢;12;ひとやね;hitoyane;person ;2;かんむり;kanmuri
耳;mimi;ear;6;ジ;ji;みみ;mimi;1;"[ [ ""耳鼻科（じびか）"", ""otolaryngology"" ], [ ""耳（みみ）"", ""ear"" ], [ ""初耳（はつみみ）"", ""heard for the first time"" ] ]";2190;3697;⽿;163;みみ;mimi;ear;6;;
嫌;kira(u);dislike, unpleasant;13;ケン;ken;きら、きらう、きらい、いや、いやがる;kira, kirau, kirai, iya, iyagaru;n/a;"[ [ ""自己嫌悪（じこけんお）"", ""self-hatred"" ], [ ""機嫌（きげん）"", ""mood"" ], [ ""嫌う（きらう）"", ""dislike [v.t.]"" ], [ ""嫌いな（きらいな）"", ""dislike"" ], [ ""好き嫌い（すききらい）"", ""likes and dislikes"" ], [ ""食わず嫌い（くわずぎらい）"", ""prejudiced against (some food)"" ], [ ""嫌な（いやな）"", ""unpleasant"" ], [ ""嫌がる（いやがる）"", ""dislike, unwilling, reluctant [v.t.]"" ] ]";459;1250;;45;おんなへん;onnahen;woman;3;へん;hen
窓;mado;window;11;ソウ;sou;まど;mado;6;"[ [ ""車窓（しゃそう）"", ""car window"" ], [ ""同窓会（どうそうかい）"", ""class reunion"" ], [ ""窓（まど）"", ""window"" ], [ ""窓口（まどぐち）"", ""ticket window"" ], [ ""窓際（まどぎわ）"", ""(at the) window"" ] ]";1476;3326;;147;あなかんむり;anakanmuri;hole, cave;5;かんむり;kanmuri
喜;ki-yoroko(bu);happy, happiness, be glad;12;キ;ki;よろこ、よろこぶ、よろこび、よろこばす;yoroko, yorokobu, yorokobi, yorokobasu;4;"[ [ ""歓喜する（かんきする）"", ""rejoice"" ], [ ""喜劇（きげき）"", ""comedy"" ], [ ""一喜一憂（いっきいちゆう）"", ""mixed blessings"" ], [ ""喜ぶ（よろこぶ）"", ""be delighted [v.i.]"" ], [ ""喜ばす（よろこばす）"", ""give pleasure, please [v.t.]"" ] ]";1488;1115;⼝;34;くち;kuchi;mouth;3;;
